time,node_id,neighbor_id,distance_m,symmetrical_link
5,15,8,243,1
5,15,17,217,1
5,16,11,220,1
5,16,9,216,1
5,16,15,222,1
5,16,25,243,1
5,16,21,161,1
5,16,8,243,1
5,17,28,234,1
5,17,7,208,1
5,17,9,216,1
5,17,15,222,1
5,17,10,238,1
5,17,14,201,1
5,18,28,234,1
5,18,29,218,1
5,18,0,219,1
5,18,10,238,1
5,18,14,201,1
5,19,30,224,1
5,19,13,184,1
5,19,24,208,1
5,20,4,143,1
5,20,27,224,1
5,21,11,220,1
5,21,25,243,1
5,21,16,216,1
5,21,8,243,1
5,24,30,224,1
5,24,13,184,1
5,24,19,208,1
5,24,12,184,1
5,25,11,220,1
5,25,16,216,1
5,25,21,161,1
5,25,8,243,1
5,25,12,184,1
5,26,5,222,1
5,27,30,224,1
5,27,4,143,1
5,27,3,222,1
5,27,20,149,1
5,28,7,208,1
5,28,9,216,1
5,28,15,222,1
5,28,29,218,1
5,28,10,238,1
5,28,14,201,1
5,28,17,217,1
5,28,18,238,1
5,29,28,234,1
5,29,7,208,1
5,29,10,238,1
5,29,14,201,1
5,29,6,164,1
5,29,18,238,1
5,30,13,184,1
5,30,19,208,1
5,30,27,224,1
5,30,24,208,1
5.5,0,3,222,1
5.5,0,18,238,1
5.5,1,2,206,1
5.5,1,5,222,1
5.5,2,5,222,1
5.5,2,1,222,1
5.5,3,27,224,1
5.5,3,0,219,1
5.5,4,27,224,1
5.5,4,20,149,1
5.5,5,2,206,1
5.5,5,1,222,1
5.5,5,26,198,1
5.5,6,7,208,1
5.5,6,29,218,1
5.5,6,10,238,1
5.5,6,14,201,1
5.5,7,28,234,1
5.5,7,9,216,1
5.5,7,17,217,1
5.5,7,15,222,1
5.5,7,29,218,1
5.5,7,10,238,1
5.5,7,14,201,1
5.5,7,6,164,1
5.5,8,11,220,1
5.5,8,9,216,1
5.5,8,15,222,1
5.5,8,25,243,1
5.5,8,16,216,1
5.5,8,21,161,1
5.5,9,28,234,1
5.5,9,7,208,1
5.5,9,15,222,1
5.5,9,16,216,1
5.5,9,8,243,1
5.5,9,17,217,1
5.5,10,28,234,1
5.5,10,7,208,1
5.5,10,29,218,1
5.5,10,14,201,1
5.5,10,6,164,1
5.5,10,17,217,1
5.5,10,18,238,1
5.5,11,25,243,1
5.5,11,16,216,1
5.5,11,21,161,1
5.5,11,8,243,1
5.5,12,25,243,1
5.5,12,24,208,1
5.5,13,30,224,1
5.5,13,19,208,1
5.5,13,24,208,1
5.5,14,28,234,1
5.5,14,7,208,1
5.5,14,29,218,1
5.5,14,10,238,1
5.5,14,6,164,1
5.5,14,17,217,1
5.5,14,18,238,1
