window_start,window_end,sent_pkts,sent_bytes,recv_pkts,recv_bytes,avg_delay_ms,jitter_ms,DestinationRecvDataPkts,DestinationRecvDataBytes,throughput_bps,goodput_bps,ETX,PDR,LossRate
78.0,78.5,440,108702,292,108702,1.577,1.849,64.0,36864.0,1739232,589824,6.875,0.145,0.855
78.5,79.0,423,98392,281,98392,1.66,1.864,73.0,42048.0,1574272,672768,5.795,0.173,0.827
79.0,79.5,407,88782,299,88782,1.633,2.013,83.0,47808.0,1420512,764928,4.904,0.204,0.796
79.5,80.0,535,112342,395,112342,1.269,1.629,59.0,33984.0,1797472,543744,9.068,0.11,0.89
80.0,80.5,511,122976,352,122976,1.321,1.633,43.0,24768.0,1967616,396288,11.884,0.084,0.916
80.5,81.0,908,281908,449,281908,1.245,1.433,43.0,24768.0,4510528,396288,21.116,0.047,0.953
81.0,81.5,897,292276,414,292276,1.404,1.541,20.0,11520.0,4676416,184320,44.85,0.022,0.978
81.5,82.0,711,204296,391,204296,1.345,1.544,70.0,40320.0,3268736,645120,10.157,0.098,0.902
82.0,82.5,444,103068,310,103068,1.527,1.736,61.0,35136.0,1649088,562176,7.279,0.137,0.863
82.5,83.0,1054,300462,583,300462,1.057,1.271,49.0,28224.0,4807392,451584,21.51,0.046,0.954
83.0,83.5,936,260000,518,260000,0.64,0.596,13.0,7488.0,4160000,119808,72.0,0.014,0.986
83.5,84.0,563,152174,351,152174,1.248,1.516,36.0,20736.0,2434784,331776,15.639,0.064,0.936
84.0,84.5,597,191706,309,191706,1.489,1.571,44.0,25344.0,3067296,405504,13.568,0.074,0.926
84.5,85.0,1005,331734,452,331734,1.261,1.299,28.0,16128.0,5307744,258048,35.893,0.028,0.972
85.0,85.5,1055,332818,503,332818,1.165,1.247,16.0,9216.0,5325088,147456,65.938,0.015,0.985
85.5,86.0,711,242774,320,242774,1.936,1.652,7.0,4032.0,3884384,64512,101.571,0.01,0.99
86.0,86.5,786,240862,396,240862,1.904,1.459,41.0,23616.0,3853792,377856,19.171,0.052,0.948
86.5,87.0,527,134092,323,134092,1.615,1.882,46.0,26496.0,2145472,423936,11.457,0.087,0.913
87.0,87.5,1008,303322,516,303322,1.201,1.524,9.0,5184.0,4853152,82944,112.0,0.009,0.991
87.5,88.0,939,304278,429,304278,1.325,1.533,27.0,15552.0,4868448,248832,34.778,0.029,0.971
88.0,88.5,695,244232,296,244232,1.688,1.824,67.0,38592.0,3907712,617472,10.373,0.096,0.904
88.5,89.0,811,265174,389,265174,1.299,1.607,56.0,32256.0,4242784,516096,14.482,0.069,0.931
